order_id,name,item,qty,amount,date
ORD26-0160,임수아, USB메모리 64GB  ,9,111300,2026/03/22
ORD26-0161,한지호,  HDMI 케이블 2m  ,8,36000,2026/03/31
ORD26-0164, 신아린  ,종이컵 6.5oz,2,6200,2026/04/19
ORD26-0166, 황주원 ,노트북 거치대,5,,2026/05/03
ORD26-0167,  안다은 ,문서 세단기,5,,2026/05/12
ORD26-0168,  송지안 ,탁상용 스탠드,8,,2026/05/17
ORD26-0171,홍태민,LED 모니터 27형,9,1971000,
ORD26-0173,양준서,모나미 볼펜 흑색,3,700,
ORD26-0174,손채원,기계식 키보드,6,234000,
ORD26-0175,배은우,메쉬 사무의자,7,356000,
ORD26-0178,남지유,외장하드 2TB,7,686000,2026/02/03
ORD26-0180,노하율,USB허브 4포트,9,59100,2026/02/17
ORD26-0181,김민준,포스트잇 노랑,2,2400,2026/02/24
ORD26-0182,이서연,철제 책상 1200,5,264000,2026/03/03
ORD26-0185,정하준,  HDMI 케이블 2m ,5,22500,2026/03/24
ORD26-0187,조시우, 서랍장 3단  ,9,378000,2026/04/07
ORD26-0188,윤하은, 종이컵 6.5oz  ,8,24800,2026/04/13
ORD26-0189,장예준,  화이트보드 900  ,9,487000,2026/04/21
ORD26-0192, 오유진  ,탁상용 스탠드,3,,2026/05/12
ORD26-0194, 신아린 ,무선 마우스 광학식,5,,2026/05/25
ORD26-0195,  권민서  ,LED 모니터 27형,8,,2026/06/02
ORD26-0196, 황주원  ,토너 카트리지 검정,7,299000,
ORD26-0199,류현우,메쉬 사무의자,1,89000,
ORD26-0201,홍태민,기가비트 공유기,3,269000,2026/01/22
ORD26-0202,문가은,외장하드 2TB,7,392000,2026/01/29
ORD26-0203,양준서,복합기 A3,7,2700000,2026/02/05
ORD26-0206,백서아,철제 책상 1200,8,1056000,2026/02/26
ORD26-0208,남지유,USB메모리 64GB,4,15900,2026/03/12
ORD26-0209,심도현,HDMI 케이블 2m,4,9000,2026/03/19
ORD26-0210,노하율,라벨지 A4,3,26400,2026/03/28
ORD26-0213,박도윤,  화이트보드 900 ,6,258000,2026/04/16
ORD26-0215,정하준, 문서 세단기 ,8,1248000,2026/05/01
ORD26-0216,강서윤, 탁상용 스탠드  ,12,,2026/05/07
ORD26-0217,조시우, A4 복사용지 80g ,1,,2026/05/15
ORD26-0220, 임수아 ,토너 카트리지 검정,4,,2026/06/04
ORD26-0222, 오유진  ,기계식 키보드,7,468000,
ORD26-0223,  서건우  ,메쉬 사무의자,10,623000,
ORD26-0224, 신아린 ,생수 2L 12입,10,57600,
ORD26-0227,안다은,복합기 A3,2,1080000,2026/01/31
ORD26-0229,류현우,포스트잇 노랑,4,9600,2026/02/15
ORD26-0230,전소율,철제 책상 1200,5,660000,2026/02/20
ORD26-0231,홍태민,믹스커피 100T,6,71400,2026/02/26
ORD26-0234,손채원,라벨지 A4,9,79200,2026/03/21
ORD26-0236,백서아,종이컵 6.5oz,2,56200,2026/04/04
ORD26-0237,유시윤,화이트보드 900,3,129000,2026/04/10
ORD26-0238,남지유,노트북 거치대,5,88000,2026/04/18
ORD26-0241,김민준, A4 복사용지 80g  ,7,,2026/05/09
ORD26-0243,박도윤, LED 모니터 27형 ,12,,2026/05/23
ORD26-0244,최지우, 토너 카트리지 검정  ,1,,2026/06/01
ORD26-0245,정하준, 모나미 볼펜 흑색  ,3,,2026/06/06
ORD26-0248, 윤하은 ,생수 2L 12입,5,36000,
ORD26-0250,  임수아 ,외장하드 2TB,9,686000,
ORD26-0251,  한지호  ,복합기 A3,8,4320000,2026/01/24
ORD26-0252, 오유진 ,USB허브 4포트,10,89100,2026/02/02
